<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.06	12:00:00	1.11932	1.12054	1.11899	1.12032	3790	0	1
2020.01.06	14:00:00	1.12032	1.12042	1.11912	1.11977	3171	0	1
2020.01.06	16:00:00	1.11976	1.12002	1.11821	1.11885	4557	0	1
2020.01.06	18:00:00	1.11885	1.11960	1.11809	1.11949	3124	0	1
2020.01.06	20:00:00	1.11949	1.11978	1.11880	1.11912	1822	0	1
2020.01.06	22:00:00	1.11912	1.11989	1.11890	1.11968	1324	0	1
2020.01.07	00:00:00	1.11960	1.11975	1.11932	1.11953	1100	0	2
2020.01.07	02:00:00	1.11952	1.11971	1.11891	1.11934	1782	0	1
2020.01.07	04:00:00	1.11934	1.11944	1.11909	1.11922	973	0	2
2020.01.07	06:00:00	1.11922	1.11934	1.11828	1.11829	1149	0	1
2020.01.07	08:00:00	1.11829	1.11896	1.11729	1.11740	3959	0	1
2020.01.07	10:00:00	1.11740	1.11896	1.11725	1.11844	4515	0	1
2020.01.07	12:00:00	1.11843	1.11860	1.11647	1.11817	4111	0	1
2020.01.07	14:00:00	1.11817	1.11832	1.11547	1.11561	4700	0	1
2020.01.07	16:00:00	1.11560	1.11622	1.11342	1.11416	6236	0	1
2020.01.07	18:00:00	1.11416	1.11471	1.11335	1.11424	3424	0	1
2020.01.07	20:00:00	1.11424	1.11495	1.11413	1.11444	2184	0	1
2020.01.07	22:00:00	1.11444	1.11536	1.11421	1.11526	1776	0	1
2020.01.08	00:00:00	1.11529	1.11543	1.11439	1.11538	2610	0	1
2020.01.08	02:00:00	1.11537	1.11681	1.11524	1.11556	6980	0	1
2020.01.08	04:00:00	1.11556	1.11613	1.11530	1.11546	3891	0	1
2020.01.08	06:00:00	1.11546	1.11557	1.11451	1.11490	2048	0	1
2020.01.08	08:00:00	1.11489	1.11548	1.11431	1.11511	4228	0	1
2020.01.08	10:00:00	1.11511	1.11532	1.11253	1.11384	6061	0	1
2020.01.08	12:00:00	1.11382	1.11385	1.11197	1.11272	4312	0	1
2020.01.08	14:00:00	1.11271	1.11309	1.11110	1.11199	5042	0	1
2020.01.08	16:00:00	1.11199	1.11308	1.11152	1.11197	4773	0	1
2020.01.08	18:00:00	1.11197	1.11258	1.11086	1.11179	5868	0	1
2020.01.08	20:00:00	1.11178	1.11178	1.11082	1.11110	2555	0	1
2020.01.08	22:00:00	1.11112	1.11147	1.11016	1.11053	2251	0	1
2020.01.09	00:00:00	1.11053	1.11132	1.11033	1.11129	937	0	2
2020.01.09	02:00:00	1.11129	1.11193	1.11092	1.11173	2543	0	1
2020.01.09	04:00:00	1.11173	1.11189	1.11141	1.11153	1267	0	1
2020.01.09	06:00:00	1.11152	1.11189	1.11126	1.11182	969	0	1
2020.01.09	08:00:00	1.11181	1.11203	1.11110	1.11152	3167	0	1
2020.01.09	10:00:00	1.11151	1.11190	1.10983	1.10993	4817	0	1
2020.01.09	12:00:00	1.10994	1.11126	1.10965	1.11046	3163	0	1
2020.01.09	14:00:00	1.11046	1.11173	1.11033	1.11148	4243	0	1
2020.01.09	16:00:00	1.11149	1.11149	1.10923	1.11022	4397	0	1
2020.01.09	18:00:00	1.11023	1.11112	1.10935	1.11046	3071	0	1
2020.01.09	20:00:00	1.11046	1.11097	1.11034	1.11059	2117	0	1
2020.01.09	22:00:00	1.11059	1.11073	1.11033	1.11051	1333	0	1
2020.01.10	00:00:00	1.11051	1.11092	1.11017	1.11092	932	0	1
2020.01.10	02:00:00	1.11092	1.11093	1.11021	1.11041	1516	0	1
2020.01.10	04:00:00	1.11041	1.11086	1.11035	1.11081	1064	0	1
2020.01.10	06:00:00	1.11081	1.11110	1.11064	1.11089	944	0	1
2020.01.10	08:00:00	1.11089	1.11110	1.11042	1.11070	1591	0	1
2020.01.10	10:00:00	1.11069	1.11091	1.10912	1.10964	3665	0	1
2020.01.10	12:00:00	1.10963	1.10984	1.10850	1.10931	2831	0	1
2020.01.10	14:00:00	1.10929	1.11136	1.10898	1.10966	5331	0	1
2020.01.10	16:00:00	1.10966	1.11178	1.10861	1.11128	6181	0	1
2020.01.10	18:00:00	1.11128	1.11291	1.11110	1.11223	3468	0	1
2020.01.10	20:00:00	1.11223	1.11231	1.11172	1.11220	1409	0	1
2020.01.10	22:00:00	1.11220	1.11224	1.11193	1.11212	1249	0	1
2020.01.13	00:00:00	1.11162	1.11209	1.11128	1.11161	955	0	1
2020.01.13	02:00:00	1.11161	1.11213	1.11159	1.11212	956	0	2
2020.01.13	04:00:00	1.11212	1.11298	1.11200	1.11291	1070	0	1
2020.01.13	06:00:00	1.11291	1.11317	1.11270	1.11297	895	0	1
2020.01.13	08:00:00	1.11297	1.11303	1.11221	1.11226	1986	0	1
2020.01.13	10:00:00	1.11227	1.11359	1.11147	1.11150	3943	0	1
2020.01.13	12:00:00	1.11150	1.11240	1.11127	1.11203	2655	0	1
2020.01.13	14:00:00	1.11203	1.11283	1.11182	1.11187	3292	0	1
2020.01.13	16:00:00	1.11187	1.11381	1.11175	1.11331	4359	0	1
2020.01.13	18:00:00	1.11331	1.11469	1.11325	1.11397	2965	0	1
2020.01.13	20:00:00	1.11397	1.11447	1.11375	1.11381	1683	0	1
2020.01.13	22:00:00	1.11381	1.11386	1.11330	1.11338	1173	0	1
2020.01.14	00:00:00	1.11338	1.11390	1.11320	1.11344	1042	0	1
2020.01.14	02:00:00	1.11344	1.11421	1.11312	1.11371	2262	0	1
2020.01.14	04:00:00	1.11371	1.11387	1.11352	1.11355	1414	0	1
2020.01.14	06:00:00	1.11355	1.11384	1.11355	1.11369	870	0	1
2020.01.14	08:00:00	1.11369	1.11444	1.11347	1.11420	2468	0	2
2020.01.14	10:00:00	1.11423	1.11439	1.11303	1.11313	3701	0	1
2020.01.14	12:00:00	1.11312	1.11353	1.11262	1.11303	3070	0	1
2020.01.14	14:00:00	1.11303	1.11303	1.11050	1.11102	4793	0	1
2020.01.14	16:00:00	1.11102	1.11233	1.11042	1.11220	5643	0	1
2020.01.14	18:00:00	1.11220	1.11327	1.11201	1.11310	2757	0	1
2020.01.14	20:00:00	1.11310	1.11347	1.11279	1.11280	2352	0	1
2020.01.14	22:00:00	1.11280	1.11301	1.11247	1.11274	1390	0	1
