Gmt time,Open,High,Low,Close,Volume
01.01.2014 00:00:00.000,1.37553,1.37720,1.37390,1.37653,2724.8899
02.01.2014 00:00:00.000,1.37653,1.37746,1.36294,1.36653,199117.5313
03.01.2014 00:00:00.000,1.36653,1.36719,1.35820,1.35874,193632.8438
05.01.2014 00:00:00.000,1.35935,1.36005,1.35890,1.35955,2823.0801
06.01.2014 00:00:00.000,1.35957,1.36527,1.35715,1.36296,189223.7344
07.01.2014 00:00:00.000,1.36297,1.36562,1.35965,1.36170,204173.1094
08.01.2014 00:00:00.000,1.36170,1.36350,1.35529,1.35715,209302.75
09.01.2014 00:00:00.000,1.35714,1.36330,1.35480,1.36062,221843.5938
10.01.2014 00:00:00.000,1.36062,1.36869,1.35710,1.36661,195201.9063
12.01.2014 00:00:00.000,1.36783,1.36786,1.36643,1.36720,3789.77
13.01.2014 00:00:00.000,1.36719,1.36847,1.36370,1.36686,179419.1094
14.01.2014 00:00:00.000,1.36684,1.36993,1.36490,1.36671,177116.4844
15.01.2014 00:00:00.000,1.36670,1.36731,1.35814,1.35995,178873.5156
16.01.2014 00:00:00.000,1.35994,1.36493,1.35830,1.36154,176183.0781
17.01.2014 00:00:00.000,1.36153,1.36209,1.35169,1.35389,163132.1563
19.01.2014 00:00:00.000,1.35373,1.35375,1.35248,1.35270,3851.52
20.01.2014 00:00:00.000,1.35272,1.35679,1.35075,1.35459,120202.3672
21.01.2014 00:00:00.000,1.35457,1.35687,1.35164,1.35572,176772.0938
22.01.2014 00:00:00.000,1.35571,1.35835,1.35345,1.35439,169664.2969
23.01.2014 00:00:00.000,1.35439,1.36983,1.35303,1.36882,248787.5156
24.01.2014 00:00:00.000,1.36882,1.37394,1.36627,1.36737,216233.1875
26.01.2014 00:00:00.000,1.36773,1.36906,1.36731,1.36867,5553.46
27.01.2014 00:00:00.000,1.36868,1.37166,1.36531,1.36741,193342.3125
28.01.2014 00:00:00.000,1.36741,1.36885,1.36290,1.36540,171590.875
29.01.2014 00:00:00.000,1.36538,1.36846,1.36030,1.36574,224702.9375
30.01.2014 00:00:00.000,1.36572,1.36624,1.35434,1.35574,234697.0625
31.01.2014 00:00:00.000,1.35575,1.35728,1.34790,1.34827,240687.6563
02.02.2014 00:00:00.000,1.34841,1.34912,1.34818,1.34873,3629.1299
03.02.2014 00:00:00.000,1.34873,1.35354,1.34772,1.35226,230509.7656
04.02.2014 00:00:00.000,1.35226,1.35385,1.34934,1.35159,201621.2656
05.02.2014 00:00:00.000,1.35156,1.35554,1.34990,1.35337,213095.4531
06.02.2014 00:00:00.000,1.35338,1.36188,1.34820,1.35917,223807.7813
07.02.2014 00:00:00.000,1.35916,1.36424,1.35519,1.36342,193127.0469
09.02.2014 00:00:00.000,1.36165,1.36269,1.36160,1.36186,3053.4099
10.02.2014 00:00:00.000,1.36185,1.36514,1.36184,1.36451,143303.625
11.02.2014 00:00:00.000,1.36451,1.36829,1.36295,1.36366,182680.5
12.02.2014 00:00:00.000,1.36366,1.36527,1.35623,1.35877,197226.8281
13.02.2014 00:00:00.000,1.35876,1.36918,1.35855,1.36759,202744.2031
14.02.2014 00:00:00.000,1.36759,1.37147,1.36736,1.36914,168199.9219
16.02.2014 00:00:00.000,1.37083,1.37097,1.36950,1.37041,3124.1899
17.02.2014 00:00:00.000,1.37041,1.37240,1.36921,1.37038,114561.5391
18.02.2014 00:00:00.000,1.37036,1.37704,1.36946,1.37603,181482.625
19.02.2014 00:00:00.000,1.37603,1.37731,1.37244,1.37293,155350.6875
20.02.2014 00:00:00.000,1.37293,1.37625,1.36855,1.37205,147077.0156
21.02.2014 00:00:00.000,1.37205,1.37586,1.37020,1.37375,116097.3906
23.02.2014 00:00:00.000,1.37326,1.37414,1.37325,1.37375,1958.1899
24.02.2014 00:00:00.000,1.37376,1.37710,1.37084,1.37345,120817.1016
25.02.2014 00:00:00.000,1.37345,1.37671,1.37155,1.37458,136327.2344
26.02.2014 00:00:00.000,1.37457,1.37571,1.36617,1.36809,151360.9375
27.02.2014 00:00:00.000,1.36808,1.37268,1.36432,1.37061,147824.3438
28.02.2014 00:00:00.000,1.37064,1.38248,1.36941,1.37990,176251.6563
02.03.2014 00:00:00.000,1.37593,1.37880,1.37551,1.37740,5887.1001
03.03.2014 00:00:00.000,1.37741,1.37926,1.37263,1.37355,130624.7578
04.03.2014 00:00:00.000,1.37355,1.37815,1.37208,1.37419,124944.4063
05.03.2014 00:00:00.000,1.37415,1.37488,1.37075,1.37314,118258.1172
06.03.2014 00:00:00.000,1.37314,1.38729,1.37212,1.38633,163455.8281
07.03.2014 00:00:00.000,1.38633,1.39150,1.38521,1.38753,141384.9844
09.03.2014 00:00:00.000,1.38749,1.38796,1.38697,1.38771,3563.02
10.03.2014 00:00:00.000,1.38772,1.38978,1.38616,1.38759,105023.1016
11.03.2014 00:00:00.000,1.38760,1.38766,1.38338,1.38563,123617.0625
12.03.2014 00:00:00.000,1.38563,1.39142,1.38433,1.39023,144347.7969
13.03.2014 00:00:00.000,1.39023,1.39667,1.38456,1.38650,210937.8906
14.03.2014 00:00:00.000,1.38649,1.39372,1.38476,1.39059,152332.9375
16.03.2014 00:00:00.000,1.39065,1.39173,1.39027,1.39090,4907.3999
17.03.2014 00:00:00.000,1.39091,1.39475,1.38791,1.39253,119658.6719
18.03.2014 00:00:00.000,1.39251,1.39425,1.38799,1.39292,139982.4531
19.03.2014 00:00:00.000,1.39293,1.39324,1.38097,1.38181,148508.5625
20.03.2014 00:00:00.000,1.38180,1.38448,1.37494,1.37786,152361.3594
21.03.2014 00:00:00.000,1.37787,1.38106,1.37657,1.37915,114199.0391
23.03.2014 00:00:00.000,1.37968,1.38063,1.37881,1.37969,3441.3301
24.03.2014 00:00:00.000,1.37968,1.38754,1.37604,1.38362,132822.9219
25.03.2014 00:00:00.000,1.38364,1.38469,1.37491,1.38199,164939.4375
26.03.2014 00:00:00.000,1.38200,1.38233,1.37766,1.37856,157953.8438
27.03.2014 00:00:00.000,1.37855,1.37968,1.37286,1.37405,148441.9531
28.03.2014 00:00:00.000,1.37406,1.37730,1.37048,1.37491,120842.7266
30.03.2014 00:00:00.000,1.37612,1.37636,1.37451,1.37531,3332.75
31.03.2014 00:00:00.000,1.37530,1.38067,1.37216,1.37739,119090.5078
01.04.2014 00:00:00.000,1.37739,1.38155,1.37692,1.37933,94038.2891
02.04.2014 00:00:00.000,1.37933,1.38202,1.37532,1.37665,96886.1406
03.04.2014 00:00:00.000,1.37666,1.38064,1.36982,1.37227,147319.1406
04.04.2014 00:00:00.000,1.37227,1.37308,1.36728,1.37016,135092.8281
06.04.2014 00:00:00.000,1.36964,1.37041,1.36943,1.37036,2985.99
07.04.2014 00:00:00.000,1.37036,1.37486,1.36972,1.37420,101004.9063
08.04.2014 00:00:00.000,1.37420,1.38115,1.37374,1.37929,134065.5
09.04.2014 00:00:00.000,1.37930,1.38619,1.37799,1.38523,142058.6563
10.04.2014 00:00:00.000,1.38523,1.38990,1.38360,1.38865,140826.9688
11.04.2014 00:00:00.000,1.38866,1.39056,1.38635,1.38843,122176.1719
13.04.2014 00:00:00.000,1.38433,1.38606,1.38416,1.38470,5761.48
14.04.2014 00:00:00.000,1.38471,1.38630,1.38081,1.38155,119526.6875
15.04.2014 00:00:00.000,1.38153,1.38331,1.37903,1.38110,122386.1328
16.04.2014 00:00:00.000,1.38111,1.38508,1.38037,1.38237,119833.1094
17.04.2014 00:00:00.000,1.38236,1.38645,1.38105,1.38105,105610.8203
18.04.2014 00:00:00.000,1.38105,1.38223,1.38077,1.38077,25516.3496
20.04.2014 00:00:00.000,1.38121,1.38173,1.38106,1.38141,2263.8401
21.04.2014 00:00:00.000,1.38142,1.38304,1.37871,1.37916,46137.0117
22.04.2014 00:00:00.000,1.37916,1.38248,1.37850,1.38069,96930.2578
23.04.2014 00:00:00.000,1.38070,1.38546,1.38003,1.38170,133030.5313
24.04.2014 00:00:00.000,1.38170,1.38429,1.37914,1.38303,125642.7188
25.04.2014 00:00:00.000,1.38304,1.38482,1.38267,1.38329,96486.8281
27.04.2014 00:00:00.000,1.38447,1.38447,1.38357,1.38390,2489.6499
28.04.2014 00:00:00.000,1.38389,1.38794,1.38147,1.38518,131037.9531
29.04.2014 00:00:00.000,1.38518,1.38791,1.38055,1.38130,156695.6875
30.04.2014 00:00:00.000,1.38129,1.38765,1.37750,1.38679,194255.375
01.05.2014 00:00:00.000,1.38680,1.38892,1.38628,1.38699,108122.5625
02.05.2014 00:00:00.000,1.38698,1.38813,1.38122,1.38706,165025.5781
04.05.2014 00:00:00.000,1.38818,1.38838,1.38710,1.38717,7850.6602
05.05.2014 00:00:00.000,1.38716,1.38860,1.38645,1.38746,121529.7578
06.05.2014 00:00:00.000,1.38746,1.39512,1.38721,1.39291,151786.7031
07.05.2014 00:00:00.000,1.39291,1.39385,1.39092,1.39105,162509.0625
08.05.2014 00:00:00.000,1.39105,1.39933,1.38331,1.38425,223628.5
09.05.2014 00:00:00.000,1.38427,1.38437,1.37451,1.37553,191745.9531
11.05.2014 00:00:00.000,1.37526,1.37610,1.37522,1.37603,3457.3301
12.05.2014 00:00:00.000,1.37603,1.37748,1.37494,1.37554,132364.4063
13.05.2014 00:00:00.000,1.37555,1.37714,1.36891,1.37078,193907.3906
14.05.2014 00:00:00.000,1.37077,1.37308,1.36979,1.37176,169154.0313
15.05.2014 00:00:00.000,1.37175,1.37322,1.36484,1.37169,201896.4844
16.05.2014 00:00:00.000,1.37169,1.37268,1.36853,1.36922,135192.5625
18.05.2014 00:00:00.000,1.36927,1.37029,1.36926,1.37029,11798.2695
19.05.2014 00:00:00.000,1.37029,1.37341,1.36986,1.37124,144736.7031
20.05.2014 00:00:00.000,1.37124,1.37138,1.36780,1.37033,158404.625
21.05.2014 00:00:00.000,1.37033,1.37231,1.36345,1.36817,164294.9531
22.05.2014 00:00:00.000,1.36819,1.36870,1.36452,1.36533,159470.3281
23.05.2014 00:00:00.000,1.36532,1.36534,1.36156,1.36274,154646.6563
25.05.2014 00:00:00.000,1.36233,1.36307,1.36145,1.36275,3677.2
