Local time,Open,High,Low,Close,Volume
15.01.2015 13:30:00.000 GMT+0530,1.17771,1.17776,1.15675,1.16925,80486.8906
15.01.2015 17:30:00.000 GMT+0530,1.16927,1.17470,1.15857,1.15859,87430.7501
15.01.2015 21:30:00.000 GMT+0530,1.15857,1.16358,1.15678,1.16129,60243.541099999995
16.01.2015 01:30:00.000 GMT+0530,1.16133,1.16394,1.16061,1.16360,24075.5396
16.01.2015 05:30:00.000 GMT+0530,1.16361,1.16462,1.15999,1.16393,30084.099599999998
16.01.2015 09:30:00.000 GMT+0530,1.16395,1.16487,1.16216,1.16324,28865.9897
16.01.2015 13:30:00.000 GMT+0530,1.16322,1.16460,1.15756,1.15865,52940.6191
16.01.2015 17:30:00.000 GMT+0530,1.15866,1.16095,1.14600,1.14917,68783.5811
16.01.2015 21:30:00.000 GMT+0530,1.14928,1.15848,1.14894,1.15847,49656.028699999995
17.01.2015 01:30:00.000 GMT+0530,1.15852,1.15892,1.15528,1.15626,12855.4097
19.01.2015 01:30:00.000 GMT+0530,1.15515,1.15735,1.15515,1.15612,4557.42
19.01.2015 05:30:00.000 GMT+0530,1.15614,1.15741,1.15530,1.15606,18513.9595
19.01.2015 09:30:00.000 GMT+0530,1.15608,1.15856,1.15521,1.15590,21534.4697
19.01.2015 13:30:00.000 GMT+0530,1.15590,1.16283,1.15514,1.15880,39828.888600000006
19.01.2015 17:30:00.000 GMT+0530,1.15882,1.16388,1.15859,1.16311,36467.5205
19.01.2015 21:30:00.000 GMT+0530,1.16314,1.16387,1.16013,1.16014,17393.8101
20.01.2015 01:30:00.000 GMT+0530,1.16016,1.16107,1.15912,1.15947,7238.239799999999
20.01.2015 05:30:00.000 GMT+0530,1.15946,1.16017,1.15725,1.15809,19692.6597
20.01.2015 09:30:00.000 GMT+0530,1.15809,1.15929,1.15684,1.15908,20034.5999
20.01.2015 13:30:00.000 GMT+0530,1.15906,1.16150,1.15693,1.15820,39635.6806
20.01.2015 17:30:00.000 GMT+0530,1.15822,1.16054,1.15707,1.15733,36423.3906
20.01.2015 21:30:00.000 GMT+0530,1.15734,1.15843,1.15405,1.15504,26361.329100000003
21.01.2015 01:30:00.000 GMT+0530,1.15505,1.15572,1.15424,1.15454,10763.209900000002
21.01.2015 05:30:00.000 GMT+0530,1.15454,1.15729,1.15412,1.15683,12593.119900000002
21.01.2015 09:30:00.000 GMT+0530,1.15685,1.15884,1.15541,1.15570,20072.6599
21.01.2015 13:30:00.000 GMT+0530,1.15571,1.15857,1.15470,1.15764,34707.4697
21.01.2015 17:30:00.000 GMT+0530,1.15764,1.16799,1.15650,1.15866,62421.2613
21.01.2015 21:30:00.000 GMT+0530,1.15867,1.16134,1.15621,1.15904,33281.510299999994
22.01.2015 01:30:00.000 GMT+0530,1.15903,1.16292,1.15794,1.16147,14055.7598
22.01.2015 05:30:00.000 GMT+0530,1.16146,1.16185,1.15909,1.16057,13485.6599
22.01.2015 09:30:00.000 GMT+0530,1.16057,1.16091,1.15755,1.15778,15429.3599
22.01.2015 13:30:00.000 GMT+0530,1.15776,1.16443,1.15772,1.16267,34359.9395
22.01.2015 17:30:00.000 GMT+0530,1.16263,1.16505,1.14135,1.14172,77184.81049999999
22.01.2015 21:30:00.000 GMT+0530,1.14175,1.14319,1.13630,1.13790,45031.640699999996
23.01.2015 01:30:00.000 GMT+0530,1.13788,1.13821,1.13160,1.13467,23247.4201
23.01.2015 05:30:00.000 GMT+0530,1.13468,1.13740,1.13387,1.13641,17499.8599
23.01.2015 09:30:00.000 GMT+0530,1.13641,1.13661,1.13145,1.13461,25019.8007
23.01.2015 13:30:00.000 GMT+0530,1.13461,1.13562,1.11699,1.11726,57499.811499999996
23.01.2015 17:30:00.000 GMT+0530,1.11728,1.12889,1.11146,1.12461,76907.9492
23.01.2015 21:30:00.000 GMT+0530,1.12460,1.12873,1.12179,1.12462,41251.000499999995
24.01.2015 01:30:00.000 GMT+0530,1.12462,1.12479,1.12020,1.12020,10074.9702
26.01.2015 01:30:00.000 GMT+0530,1.11521,1.11562,1.10979,1.11417,12903.0601
26.01.2015 05:30:00.000 GMT+0530,1.11417,1.12013,1.11381,1.11757,29509.1303
