<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	1.43259	1.43336	1.42569	1.42939	6693	0	12
2010.01.04	04:00:00	1.42938	1.43090	1.42718	1.42949	4999	0	10
2010.01.04	08:00:00	1.42946	1.43994	1.42688	1.43778	10386	0	11
2010.01.04	12:00:00	1.43781	1.44498	1.43768	1.44266	9946	0	12
2010.01.04	16:00:00	1.44262	1.44543	1.44030	1.44120	8987	0	11
2010.01.04	20:00:00	1.44121	1.44263	1.44029	1.44111	4494	0	12
2010.01.05	00:00:00	1.44107	1.44391	1.44056	1.44142	5526	0	12
2010.01.05	04:00:00	1.44139	1.44764	1.44123	1.44755	6876	0	13
2010.01.05	08:00:00	1.44749	1.44830	1.44042	1.44177	10651	0	10
2010.01.05	12:00:00	1.44176	1.44540	1.43875	1.44037	9921	0	11
2010.01.05	16:00:00	1.44031	1.44337	1.43467	1.43604	9721	0	11
2010.01.05	20:00:00	1.43598	1.43726	1.43487	1.43624	3991	0	13
2010.01.06	00:00:00	1.43632	1.43700	1.43342	1.43565	6115	0	12
2010.01.06	04:00:00	1.43563	1.43628	1.42901	1.43121	5216	0	14
2010.01.06	08:00:00	1.43120	1.43820	1.42831	1.43788	10193	0	10
2010.01.06	12:00:00	1.43784	1.43784	1.43362	1.43514	8833	0	9
2010.01.06	16:00:00	1.43516	1.44155	1.43516	1.43978	8954	0	11
2010.01.06	20:00:00	1.43991	1.44338	1.43928	1.43998	6124	0	13
2010.01.07	00:00:00	1.44001	1.44456	1.43938	1.44019	5862	0	14
2010.01.07	04:00:00	1.44021	1.44156	1.43583	1.43639	5820	0	12
2010.01.07	08:00:00	1.43637	1.43989	1.43391	1.43491	9377	0	10
2010.01.07	12:00:00	1.43497	1.43515	1.42994	1.43196	10286	0	10
2010.01.07	16:00:00	1.43198	1.43329	1.43041	1.43085	8129	0	10
